# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	13888
#@/user_id	68f0eb48-92c8-401d-96d2-9347ba0bc0d7
bian cheng 	變成	c=3 d=0.1 t=12770
bian de 	變得	c=2 d=1.00003 t=2410
bian geng 	變更	c=2 d=1 t=9263
bian hua 	變化	c=1 d=1.00051 t=6739
bian hua ne 	變化呢	c=1 d=1 t=5683
bian ji 	編輯	c=4 d=1.03996 t=11687
bian ji qi 	編輯器	c=1 d=1 t=6649
bian jie 	邊界	c=4 d=2.97074 t=6118
bian liang 	變量	c=3 d=1 t=13260
bian qian 	變遷	c=1 d=1 t=9307
bian yi 	變異	c=1 d=1 t=2959
bian yu 	便於	c=1 d=1 t=11577
bian yuan 	邊緣	c=1 d=1 t=4145
bian zheng 	辨證	c=1 d=1 t=7942
bian zhi 	貶值	c=1 d=1 t=930
biao 	表	c=2 d=0.1 t=8982
biao da 	表達	c=5 d=1 t=12997
biao ge 	表格	c=3 d=1 t=9941
biao mian de 	表面的	c=1 d=1 t=13850
biao qian 	標籤	c=2 d=1.21546 t=1718
biao shi 	表示	c=1 d=0.387941 t=13063
biao ti 	標題	c=18 d=1.00012 t=10172
biao ti dang 	標題黨	c=1 d=1 t=2848
biao xian 	表現	c=6 d=1.90937 t=13817
biao xian de 	表現得	c=1 d=1 t=517
biao xiang 	表象	c=1 d=1 t=986
biao zhun 	標準	c=17 d=1 t=13595
biao zhun de 	標準的	c=1 d=1 t=4979
bie 	別	c=2 d=1.00509 t=10133
bie le 	憋了	c=1 d=1 t=8996
bie ming 	別名	c=1 d=1 t=10293
bie ren 	別人	c=4 d=2.80264 t=9871
bie xiang 	別想	c=1 d=1 t=9838
bing 	並	c=11 d=0.414617 t=13063
bing 	冰	c=1 d=1 t=7491
bing bian 	病變	c=1 d=1 t=2965
bing biao shi 	並表示	c=1 d=1 t=13064
bing bu 	並不	c=13 d=1.09028 t=11211
bing bu hui 	並不會	c=2 d=1 t=5667
bing bu neng 	並不能	c=1 d=1 t=11405
bing bu shan chang 	並不擅長	c=1 d=1 t=5630
bing bu shi 	並不是	c=7 d=1.03725 t=11454
bing bu suan 	並不算	c=1 d=1 t=9391
bing bu suan qia dang 	並不算恰當	c=1 d=1 t=9144
bing bu xu yao 	並不需要	c=1 d=1 t=4465
bing bu yi ding 	並不一定	c=2 d=1 t=11230
bing du 	病毒	c=1 d=1 t=2968
bing fei 	並非	c=1 d=1 t=11250
bing jiao 	病娇	c=1 d=1 t=7607
bing mei 	並沒	c=1 d=1 t=7780
bing mei you 	並沒有	c=8 d=1.00001 t=10674
bing qi 	摒棄	c=1 d=0.1 t=7663
bing qi le 	摒棄了	c=1 d=1 t=7664
bing qie 	並且	c=4 d=1.08964 t=7610
bing wei 	並未	c=3 d=1 t=10612
bo 	伯	c=1 d=1 t=12461
bo 	博	c=2 d=1 t=12351
bo dong 	波動	c=2 d=1 t=10420
bo fang 	播放	c=3 d=1.99012 t=10882
bo fang qi 	播放器	c=1 d=1 t=7599
bo ke 	博客	c=14 d=1 t=13537
bo li 	玻璃	c=1 d=1 t=2670
bo shi 	博士	c=1 d=1 t=852
bo zi 	脖子	c=1 d=1 t=5032
bu 	不	c=18 d=1.01374 t=13498
bu 	步	c=3 d=1.04485 t=5373
bu 	補	c=1 d=1 t=12921
bu an 	不安	c=2 d=1.9802 t=4999
bu an quan 	不安全	c=1 d=1 t=1804
bu bi 	不必	c=1 d=1 t=854
bu bu 	補補	c=1 d=1 t=7398
bu cheng 	不成	c=1 d=1 t=7704
bu cheng shu 	不成熟	c=1 d=1 t=6516
bu chu lai 	不出來	c=1 d=1 t=5194
bu chu yi wai 	不出意外	c=1 d=1 t=8548
bu cuo 	不錯	c=8 d=1.00152 t=12952
bu cuo bu cuo 	不錯不錯	c=2 d=1 t=2546
bu da 	不打	c=2 d=1.99501 t=8263
bu dai 	不帶	c=2 d=1.91851 t=12301
bu de 	不得	c=2 d=1 t=4836
bu de bu 	不得不	c=1 d=1 t=406
bu de yi 	不得已	c=1 d=1 t=10838
bu dong 	不動	c=0 d=0.1 t=2237
bu dong 	不懂	c=2 d=1.00002 t=12995
bu duan 	不斷	c=1 d=1 t=8560
bu dui 	不對	c=2 d=1.8311 t=5537
bu er luo ji 	布尔逻辑	c=1 d=1 t=10644
bu fei shi jian 	不費時間	c=1 d=1 t=2873
bu fen 	部分	c=3 d=1 t=5943
bu fu ze ren 	不負責任	c=1 d=1 t=6518
bu gai 	不該	c=1 d=1 t=9753
bu gai zhi dao 	不該知道	c=1 d=1 t=4010
bu gan 	不敢	c=1 d=1 t=8420
bu gao 	不高	c=1 d=1 t=13106
bu gou 	不夠	c=4 d=1.47951 t=12937
bu gou hao 	不夠好	c=1 d=1 t=9852
bu guo 	不過	c=8 d=0.1 t=13533
bu hao 	不好	c=3 d=1.07065 t=9466
bu hao qi 	不好起	c=1 d=1 t=10520
bu hao yi si 	不好意思	c=1 d=1 t=12705
bu hui 	不會	c=7 d=1.00009 t=8470
bu hui jian suo 	不會檢索	c=1 d=1 t=6250
bu hui xian shi 	不會顯示	c=1 d=1 t=4280
bu jian kang 	不健康	c=1 d=1 t=6988
bu jie yi 	不介意	c=1 d=1 t=10403
bu jin 	不僅	c=4 d=1.00011 t=10848
bu jin shi 	不僅是	c=1 d=1 t=2772
bu jiu 	不久	c=2 d=1 t=13026
bu jiu 	不就	c=2 d=1 t=13027
bu jiu shi 	不就是	c=1 d=1 t=9766
bu kai 	不開	c=1 d=1 t=184
bu ke 	不可	c=1 d=1.00202 t=3750
bu ke neng 	不可能	c=1 d=1 t=7029
bu ke yu ce 	不可預測	c=1 d=1 t=2971
bu liao 	不了	c=1 d=1 t=2756
bu liao jie 	不瞭解	c=1 d=1 t=13024
bu mang 	不忙	c=1 d=1 t=10557
bu mian 	不免	c=1 d=1 t=1952
bu ming 	不明	c=1 d=1 t=2606
bu mu 	不睦	c=1 d=1 t=10968
bu nai fan 	不耐煩	c=1 d=1 t=10398
bu nan 	不難	c=1 d=1 t=415
bu neng 	不能	c=6 d=1.02719 t=13865
bu neng dong 	不能動	c=1 d=1 t=7404
bu neng yong 	不能用	c=0 d=0.1 t=1510
bu qing 	不清	c=1 d=1 t=4698
bu qing chu 	不清楚	c=1 d=1 t=6407
bu qu 	不去	c=2 d=1.00002 t=6387
bu que ding 	不確定	c=1 d=1 t=11716
bu ran 	不然	c=1 d=1 t=12713
bu ran chu 	不然出	c=1 d=1 t=1831
bu rong yi 	不容易	c=1 d=1 t=7532
bu ru 	不如	c=5 d=1.00012 t=9111
bu shan chang 	不擅長	c=1 d=1 t=603
bu she ji 	不涉及	c=1 d=1 t=13680
bu shen 	不深	c=1 d=1 t=5706
bu sheng ren 	不勝任	c=2 d=0.683141 t=5761
bu sheng ren de 	不勝任的	c=1 d=1 t=5762
bu shi 	不是	c=23 d=2.02771 t=13785
bu shu 	不熟	c=1 d=1 t=9646
bu shu 	部署	c=4 d=1 t=11907
bu shu xi 	不熟悉	c=1 d=1 t=13030
bu shun chang 	不順暢	c=1 d=1 t=10624
bu shuo 	不說	c=1 d=1 t=1365
bu shuo hua 	不說話	c=1 d=1 t=2250
bu tai 	不太	c=7 d=1.00001 t=12646
bu tai dui 	不太對	c=1 d=1 t=2099
bu tai gao 	不太高	c=1 d=1 t=2847
